date,ticker,price,sma_50,sma_200
1996-03-08,SPY,37.72,,
1996-03-11,SPY,38.16,,
1996-03-12,SPY,37.86,,
1996-03-13,SPY,38.12,,
1996-03-14,SPY,38.29,,
1996-03-15,SPY,38.26,,
1996-03-18,SPY,39.0,,
1996-03-19,SPY,38.91,,
1996-03-20,SPY,38.87,,
1996-03-21,SPY,38.77,,
1996-03-22,SPY,38.88,,
1996-03-25,SPY,38.8,,
1996-03-26,SPY,38.99,,
1996-03-27,SPY,38.63,,
1996-03-28,SPY,38.78,,
1996-03-29,SPY,38.6,,
1996-04-01,SPY,39.05,,
1996-04-02,SPY,39.12,,
1996-04-03,SPY,39.12,,
1996-04-04,SPY,39.09,,
1996-04-08,SPY,38.42,,
1996-04-09,SPY,38.27,,
1996-04-10,SPY,37.59,,
1996-04-11,SPY,37.54,,
1996-04-12,SPY,38.02,,
1996-04-15,SPY,38.34,,
1996-04-16,SPY,38.45,,
1996-04-17,SPY,38.36,,
1996-04-18,SPY,38.41,,
1996-04-19,SPY,38.5,,
1996-04-22,SPY,38.8,,
1996-04-23,SPY,38.92,,
1996-04-24,SPY,38.78,,
1996-04-25,SPY,38.96,,
1996-04-26,SPY,39.05,,
1996-04-29,SPY,39.05,,
1996-04-30,SPY,39.02,,
1996-05-01,SPY,39.1,,
1996-05-02,SPY,38.43,,
1996-05-03,SPY,38.37,,
1996-05-06,SPY,38.34,,
1996-05-07,SPY,38.18,,
1996-05-08,SPY,38.65,,
1996-05-09,SPY,38.63,,
1996-05-10,SPY,39.01,,
1996-05-13,SPY,39.6,,
1996-05-14,SPY,39.84,,
1996-05-15,SPY,39.79,,
1996-05-16,SPY,39.87,,
1996-05-17,SPY,40.09,38.71,
1996-05-20,SPY,40.36,38.76,
1996-05-21,SPY,40.3,38.8,
1996-05-22,SPY,40.69,38.86,
1996-05-23,SPY,40.52,38.91,
1996-05-24,SPY,40.68,38.96,
1996-05-28,SPY,40.27,39.0,
1996-05-29,SPY,40.0,39.02,
1996-05-30,SPY,40.2,39.04,
1996-05-31,SPY,39.9,39.06,
1996-06-03,SPY,40.01,39.09,
1996-06-04,SPY,40.29,39.12,
1996-06-05,SPY,40.65,39.15,
1996-06-06,SPY,40.35,39.18,
1996-06-07,SPY,40.35,39.21,
1996-06-10,SPY,40.22,39.24,
1996-06-11,SPY,40.18,39.27,
1996-06-12,SPY,40.11,39.3,
1996-06-13,SPY,40.11,39.32,
1996-06-14,SPY,39.94,39.33,
1996-06-17,SPY,39.91,39.35,
1996-06-18,SPY,39.59,39.37,
1996-06-19,SPY,39.76,39.4,
1996-06-20,SPY,39.73,39.44,
1996-06-21,SPY,40.08,39.5,
1996-06-24,SPY,40.15,39.54,
1996-06-25,SPY,40.1,39.57,
1996-06-26,SPY,39.83,39.6,
1996-06-27,SPY,40.11,39.64,
1996-06-28,SPY,40.25,39.67,
1996-07-01,SPY,40.6,39.71,
1996-07-02,SPY,40.45,39.75,
1996-07-03,SPY,40.37,39.78,
1996-07-05,SPY,39.34,39.79,
1996-07-08,SPY,39.18,39.79,
1996-07-09,SPY,39.34,39.8,
1996-07-10,SPY,39.5,39.81,
1996-07-11,SPY,38.7,39.8,
1996-07-12,SPY,38.73,39.79,
1996-07-15,SPY,37.58,39.78,
1996-07-16,SPY,37.68,39.76,
1996-07-17,SPY,38.13,39.76,
1996-07-18,SPY,38.65,39.77,
1996-07-19,SPY,38.37,39.76,
1996-07-22,SPY,38.09,39.75,
1996-07-23,SPY,37.6,39.72,
1996-07-24,SPY,37.68,39.68,
1996-07-25,SPY,38.01,39.65,
1996-07-26,SPY,38.22,39.62,
1996-07-29,SPY,37.8,39.58,
1996-07-30,SPY,38.16,39.54,
1996-07-31,SPY,38.45,39.5,
1996-08-01,SPY,39.08,39.47,
1996-08-02,SPY,39.93,39.46,
1996-08-05,SPY,39.69,39.44,
1996-08-06,SPY,39.81,39.42,
1996-08-07,SPY,39.92,39.42,
1996-08-08,SPY,39.85,39.41,
1996-08-09,SPY,39.72,39.4,
1996-08-12,SPY,40.01,39.41,
1996-08-13,SPY,39.69,39.4,
1996-08-14,SPY,39.83,39.39,
1996-08-15,SPY,39.76,39.37,
1996-08-16,SPY,40.1,39.37,
1996-08-19,SPY,40.11,39.36,
1996-08-20,SPY,40.09,39.36,
1996-08-21,SPY,39.95,39.36,
1996-08-22,SPY,40.32,39.36,
1996-08-23,SPY,40.1,39.36,
1996-08-26,SPY,39.91,39.36,
1996-08-27,SPY,40.06,39.36,
1996-08-28,SPY,39.99,39.37,
1996-08-29,SPY,39.6,39.37,
1996-08-30,SPY,39.19,39.36,
1996-09-03,SPY,39.44,39.34,
1996-09-04,SPY,39.48,39.33,
1996-09-05,SPY,39.0,39.31,
1996-09-06,SPY,39.55,39.3,
1996-09-09,SPY,40.02,39.3,
1996-09-10,SPY,40.0,39.3,
1996-09-11,SPY,40.23,39.29,
1996-09-12,SPY,40.51,39.29,
1996-09-13,SPY,41.13,39.31,
1996-09-16,SPY,41.28,39.34,
1996-09-17,SPY,41.18,39.38,
1996-09-18,SPY,41.08,39.42,
1996-09-19,SPY,41.24,39.45,
1996-09-20,SPY,41.39,39.51,
1996-09-23,SPY,41.38,39.56,
1996-09-24,SPY,41.37,39.64,
1996-09-25,SPY,41.39,39.71,
1996-09-26,SPY,41.38,39.78,
1996-09-27,SPY,41.41,39.83,
1996-09-30,SPY,41.38,39.89,
1996-10-01,SPY,41.6,39.96,
1996-10-02,SPY,41.88,40.05,
1996-10-03,SPY,41.85,40.13,
1996-10-04,SPY,42.41,40.22,
1996-10-07,SPY,42.46,40.3,
1996-10-08,SPY,42.29,40.39,
1996-10-09,SPY,41.96,40.47,
1996-10-10,SPY,41.88,40.54,
1996-10-11,SPY,42.39,40.6,
1996-10-14,SPY,42.45,40.65,
1996-10-15,SPY,42.39,40.71,
